"Depth","Column","Parameter","Process","Coefficient","SRC","R2","adjR2"
7.5,7,"eta_18O_diffusion","Reduction",0.106943978898718,0.00754094079502348,0.987591364583473,0.98720626900158
7.5,7,"SP_nitrification","Reduction",0.0471218793519052,0.0250185266981769,0.987591364583473,0.98720626900158
7.5,7,"d18O_nitrification","Reduction",-0.138403349894752,-0.109453401628449,0.987591364583473,0.98720626900158
7.5,7,"SP_denitrification","Reduction",0.0411335248671268,0.0573992397119538,0.987591364583473,0.98720626900158
7.5,7,"d18O_denitrification","Reduction",-0.213516034567878,-0.188972968719995,0.987591364583473,0.98720626900158
7.5,7,"eta_SP_reduction","Reduction",0.0219358353077041,0.00890877538473331,0.987591364583473,0.98720626900158
7.5,7,"eta_18O_reduction","Reduction",0.580976239034294,0.959470488653112,0.987591364583473,0.98720626900158
7.5,8,"BD","Nitrification",-13.7835766568337,-0.229644281334281,0.97705117277691,0.976338967794125
7.5,8,"eta_SP_diffusion","Nitrification",1.36531018481812,0.0984521056039751,0.97705117277691,0.976338967794125
7.5,8,"eta_18O_diffusion","Nitrification",-0.920243023875352,-0.0649824296619666,0.97705117277691,0.976338967794125
7.5,8,"SP_nitrification","Nitrification",-0.288739809550854,-0.144062217279884,0.97705117277691,0.976338967794125
7.5,8,"d18O_nitrification","Nitrification",0.167671270185002,0.126090211115994,0.97705117277691,0.976338967794125
7.5,8,"SP_denitrification","Nitrification",-0.50890221297736,-0.65733028849647,0.97705117277691,0.976338967794125
7.5,8,"d18O_denitrification","Nitrification",0.221734450101272,0.178761765841078,0.97705117277691,0.976338967794125
7.5,8,"eta_SP_reduction","Nitrification",0.774707470677725,0.295894636377894,0.97705117277691,0.976338967794125
7.5,8,"eta_18O_reduction","Nitrification",-0.361422529922258,-0.525913364853562,0.97705117277691,0.976338967794125
7.5,8,"BD","Denitrification",-2.73856648722906,-0.0553166520916613,0.977174981026588,0.976466618368793
7.5,8,"eta_SP_diffusion","Denitrification",-0.598323607982465,-0.0523080713297924,0.977174981026588,0.976466618368793
7.5,8,"eta_18O_diffusion","Denitrification",-0.764251252341627,-0.0654287253786038,0.977174981026588,0.976466618368793
7.5,8,"SP_nitrification","Denitrification",0.147956401252744,0.0894985661956253,0.977174981026588,0.976466618368793
7.5,8,"d18O_nitrification","Denitrification",0.137016996708192,0.124921172196215,0.977174981026588,0.976466618368793
7.5,8,"SP_denitrification","Denitrification",0.237444863199727,0.371835604601407,0.977174981026588,0.976466618368793
7.5,8,"d18O_denitrification","Denitrification",0.303007421150789,0.296164920862693,0.977174981026588,0.976466618368793
7.5,8,"eta_SP_reduction","Denitrification",-0.405236663293926,-0.187649308735986,0.977174981026588,0.976466618368793
7.5,8,"eta_18O_reduction","Denitrification",-0.474627043868142,-0.837317861433256,0.977174981026588,0.976466618368793
7.5,8,"BD","Reduction",22.9989953049801,0.736266827794898,0.868676722882163,0.864601172902644
7.5,8,"eta_SP_diffusion","Reduction",0.433077910210125,0.0600056813857978,0.868676722882163,0.864601172902644
7.5,8,"eta_18O_diffusion","Reduction",0.0553648193188715,0.00751207575297021,0.868676722882163,0.864601172902644
7.5,8,"SP_nitrification","Reduction",0.0325388327295548,0.0311945021418567,0.868676722882163,0.864601172902644
7.5,8,"d18O_nitrification","Reduction",-0.060907233489285,-0.0880084255045334,0.868676722882163,0.864601172902644
7.5,8,"SP_denitrification","Reduction",-0.082498971512095,-0.204753106442007,0.868676722882163,0.864601172902644
7.5,8,"d18O_denitrification","Reduction",-0.123915264853583,-0.191954780621423,0.868676722882163,0.864601172902644
7.5,8,"eta_SP_reduction","Reduction",0.0539183407155482,0.0395702257486155,0.868676722882163,0.864601172902644
7.5,8,"eta_18O_reduction","Reduction",0.174824372082873,0.488802730552349,0.868676722882163,0.864601172902644
7.5,9,"BD","Nitrification",-54.9726040888436,-0.720589651732635,0.980837329380992,0.980242625810057
7.5,9,"eta_SP_diffusion","Nitrification",1.36649026948663,0.0802940918337865,0.980837329380992,0.980242625810057
7.5,9,"eta_18O_diffusion","Nitrification",-0.586768646741654,-0.0335352131745875,0.980837329380992,0.980242625810057
7.5,9,"SP_nitrification","Nitrification",-0.633298085111887,-0.242942495950551,0.980837329380992,0.980242625810057
7.5,9,"d18O_nitrification","Nitrification",0.324769210764217,0.197481996694105,0.980837329380992,0.980242625810057
7.5,9,"SP_denitrification","Nitrification",-0.262589571106716,-0.262463716912823,0.980837329380992,0.980242625810057
7.5,9,"d18O_denitrification","Nitrification",0.10023232207089,0.0631657170171894,0.980837329380992,0.980242625810057
7.5,9,"eta_SP_reduction","Nitrification",0.793787473434174,0.241969604211784,0.980837329380992,0.980242625810057
7.5,9,"eta_18O_reduction","Nitrification",-0.364363647938392,-0.439986752691731,0.980837329380992,0.980242625810057
7.5,9,"BD","Denitrification",15.9600031001062,0.327636923955854,0.961852015642732,0.96066811267992
7.5,9,"eta_SP_diffusion","Denitrification",-0.859888022951502,-0.0791292600349437,0.961852015642732,0.96066811267992
7.5,9,"eta_18O_diffusion","Denitrification",-0.693948493334509,-0.0621125796303915,0.961852015642732,0.96066811267992
7.5,9,"SP_nitrification","Denitrification",0.43365993146442,0.260533017064149,0.961852015642732,0.96066811267992
7.5,9,"d18O_nitrification","Denitrification",0.237278890294955,0.225959143597937,0.961852015642732,0.96066811267992
7.5,9,"SP_denitrification","Denitrification",0.187431855530412,0.293395442506572,0.961852015642732,0.96066811267992
7.5,9,"d18O_denitrification","Denitrification",0.133746508785285,0.132000097119945,0.961852015642732,0.96066811267992
7.5,9,"eta_SP_reduction","Denitrification",-0.547072257694512,-0.261167674975154,0.961852015642732,0.96066811267992
7.5,9,"eta_18O_reduction","Denitrification",-0.378813824998176,-0.716388387551614,0.961852015642732,0.96066811267992
7.5,9,"BD","Reduction",23.5242886916229,0.378962600289588,0.980609438067624,0.980007662007654
7.5,9,"eta_SP_diffusion","Reduction",-0.335237160588407,-0.024208469916427,0.980609438067624,0.980007662007654
7.5,9,"eta_18O_diffusion","Reduction",0.938442215170937,0.0659143309266853,0.980609438067624,0.980007662007654
7.5,9,"SP_nitrification","Reduction",0.144289250800598,0.0680248249849027,0.980609438067624,0.980007662007654
7.5,9,"d18O_nitrification","Reduction",-0.433559741164529,-0.323996074630224,0.980609438067624,0.980007662007654
7.5,9,"SP_denitrification","Reduction",0.096165865212708,0.118127465187978,0.980609438067624,0.980007662007654
7.5,9,"d18O_denitrification","Reduction",-0.182663346117874,-0.141469620373216,0.980609438067624,0.980007662007654
7.5,9,"eta_SP_reduction","Reduction",-0.22319888573239,-0.0836154893262417,0.980609438067624,0.980007662007654
