,day_column_depth,date_R,column,depth,increment,variety,moisture,concNO3N,NO3N_ha,N2O,CO2,mgN2ONm3,mgCO2Cm3,gN2ONha,gCO2Cha,CN,d15Nbulk,d15Nalpha,d15Nbeta,SP,d18O
131,2015241 C11 120,2015241,C11,120,30,Zinal,0.3153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,2015241 C11 30,2015241,C11,30,30,Zinal,0.282259375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,2015241 C11 60,2015241,C11,60,30,Zinal,0.320604688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,2015241 C11 7.5,2015241,C11,7.5,15,Zinal,0.208650521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,2015241 C11 90,2015241,C11,90,30,Zinal,0.3153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,2015241 C12 120,2015241,C12,120,30,Monte Calme 268,0.317068229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,2015241 C12 30,2015241,C12,30,30,Monte Calme 268,0.273620313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,2015241 C12 60,2015241,C12,60,30,Monte Calme 268,0.278975521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,2015241 C12 7.5,2015241,C12,7.5,15,Monte Calme 268,0.253108854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,2015241 C12 90,2015241,C12,90,30,Monte Calme 268,0.312875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,2015241 C2 120,2015241,C2,120,30,Probus,0.2959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,2015241 C2 30,2015241,C2,30,30,Probus,0.237902083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,2015241 C2 60,2015241,C2,60,30,Probus,0.302215104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,2015241 C2 7.5,2015241,C2,7.5,15,Probus,0.257403125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,2015241 C2 90,2015241,C2,90,30,Probus,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,2015241 C3 120,2015241,C3,120,30,CH Claro,0.29105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,2015241 C3 30,2015241,C3,30,30,CH Claro,0.302063542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,2015241 C3 60,2015241,C3,60,30,CH Claro,0.240125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,2015241 C3 7.5,2015241,C3,7.5,15,CH Claro,0.260232292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,2015241 C3 90,2015241,C3,90,30,CH Claro,0.312875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,2015241 C4 120,2015241,C4,120,30,Monte Calme 268,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,2015241 C4 30,2015241,C4,30,30,Monte Calme 268,0.278116667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,2015241 C4 60,2015241,C4,60,30,Monte Calme 268,0.264223438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,2015241 C4 7.5,2015241,C4,7.5,15,Monte Calme 268,0.293222396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,2015241 C4 90,2015241,C4,90,30,Monte Calme 268,0.317169271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,2015241 C5 120,2015241,C5,120,30,Probus,0.304892708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,2015241 C5 30,2015241,C5,30,30,Probus,0.275792708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,2015241 C5 60,2015241,C5,60,30,Probus,0.291706771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,2015241 C5 7.5,2015241,C5,7.5,15,Probus,0.236335938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,2015241 C5 90,2015241,C5,90,30,Probus,0.307317708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,2015241 C6 120,2015241,C6,120,30,CH Claro,0.317725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,2015241 C6 30,2015241,C6,30,30,CH Claro,0.279177604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,2015241 C6 60,2015241,C6,60,30,CH Claro,0.32015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,2015241 C6 7.5,2015241,C6,7.5,15,CH Claro,0.269427083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,2015241 C6 90,2015241,C6,90,30,CH Claro,0.312875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,2015241 C7 120,2015241,C7,120,30,Monte Calme 268,0.293020313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,2015241 C7 30,2015241,C7,30,30,Monte Calme 268,0.220725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,2015241 C7 60,2015241,C7,60,30,Monte Calme 268,0.32015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,2015241 C7 7.5,2015241,C7,7.5,15,Monte Calme 268,0.257201042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,2015241 C7 90,2015241,C7,90,30,Monte Calme 268,0.308984896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,2015241 C8 120,2015241,C8,120,30,CH Claro,0.303175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,2015241 C8 30,2015241,C8,30,30,CH Claro,0.290595313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,2015241 C8 60,2015241,C8,60,30,CH Claro,0.27165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,2015241 C8 7.5,2015241,C8,7.5,15,CH Claro,0.230930208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,2015241 C8 90,2015241,C8,90,30,CH Claro,0.3056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
