"variable","column","depth","bandwidth","cost"
"SP",6,90,10.5737126344056,3.73852675423107
"d18O",6,90,10.5737126344056,2.45557575679397
"N2O",7,90,10.5737126344056,1.42030602338398
"SP",7,90,10.5737126344056,8.34661187567144
"d18O",7,90,10.5737126344056,4.73247679280413
"N2O",8,90,10.5737126344056,1.18805753492979
"SP",8,90,10.5737126344056,11.623710976951
"d18O",8,90,10.5737126344056,4.94603888390013
"N2O",9,90,10.5737126344056,2.00860935821343
"SP",9,90,10.5737126344056,3.44877783166087
"d18O",9,90,10.5737126344056,4.36852178854669
"N2O",10,90,10.5737126344056,1.33640616327057
"SP",10,90,10.5737126344056,11.4424036767008
"d18O",10,90,10.5737126344056,2.53507692054449
"N2O",11,90,10.5737126344056,2.51746458359587
"SP",11,90,10.5737126344056,3.64812584097386
"d18O",11,90,10.5737126344056,5.33012555528034
"N2O",12,90,10.5737126344056,4.20458087081762
"SP",12,90,10.5737126344056,2.34674420369667
"d18O",12,90,10.5737126344056,4.52116144916966
"N2O",1,120,10.5737126344056,0.754864762854956
"SP",1,120,10.5737126344056,2.8970603109735
"d18O",1,120,10.5737126344056,3.64723284593313
"N2O",2,120,10.5737126344056,1.74145054183886
"SP",2,120,10.5737126344056,3.40994614526102
"d18O",2,120,10.5737126344056,3.77726970215341
"N2O",3,120,10.5737126344056,2.28600880204984
"SP",3,120,10.5737126344056,6.87561410493423
"d18O",3,120,10.5737126344056,5.35708285711359
"N2O",4,120,10.5737126344056,2.33729649364205
"SP",4,120,10.5737126344056,3.68798143101368
"d18O",4,120,10.5737126344056,4.68159070067053
"N2O",5,120,10.5737126344056,0.320476424145371
"SP",5,120,10.5737126344056,7.31277086527113
"d18O",5,120,10.5737126344056,2.03287617186453
"N2O",6,120,10.5737126344056,0.277360688431544
"SP",6,120,10.5737126344056,11.1984027451739
"d18O",6,120,10.5737126344056,2.93211336749876
"N2O",7,120,10.5737126344056,1.63697456731773
"SP",7,120,10.5737126344056,4.55555309044957
"d18O",7,120,10.5737126344056,3.01923079191336
"N2O",8,120,10.5737126344056,1.50231510671401
"SP",8,120,10.5737126344056,10.367411853527
"d18O",8,120,10.5737126344056,2.76950506156848
"N2O",9,120,10.5737126344056,3.03361955807988
"SP",9,120,10.5737126344056,6.29432756188883
"d18O",9,120,10.5737126344056,8.40481936973157
"N2O",10,120,10.5737126344056,1.17082074059889
"SP",10,120,10.5737126344056,6.47113389308822
"d18O",10,120,10.5737126344056,4.34631578558132
"N2O",11,120,10.5737126344056,2.64794335162113
"SP",11,120,10.5737126344056,3.82732063786281
"d18O",11,120,10.5737126344056,5.92418671693471
"N2O",12,120,10.5737126344056,4.19335781839263
"SP",12,120,10.5737126344056,2.76321965655843
"d18O",12,120,10.5737126344056,6.73902054805937
"N2O",1,7.5,22.3606797749979,0.751508310845132
"SP",1,7.5,22.3606797749979,9.01383140100621
"d18O",1,7.5,22.3606797749979,3.75682330654862
"N2O",2,7.5,22.3606797749979,0.0560068672732468
"SP",2,7.5,22.3606797749979,6.78468088614953
"d18O",2,7.5,22.3606797749979,2.097245120544
"N2O",3,7.5,22.3606797749979,0.237255546380907
"SP",3,7.5,22.3606797749979,6.45454378643606
"d18O",3,7.5,22.3606797749979,1.25303983920556
"N2O",4,7.5,22.3606797749979,0.442473343795494
"SP",4,7.5,22.3606797749979,6.76250240413907
"d18O",4,7.5,22.3606797749979,2.87949762935723
"N2O",5,7.5,22.3606797749979,0.175406345500104
"SP",5,7.5,22.3606797749979,7.33930986183095
"d18O",5,7.5,22.3606797749979,1.84530208344137
"N2O",6,7.5,22.3606797749979,0.692459901817079
"SP",6,7.5,22.3606797749979,10.7087464726343
"d18O",6,7.5,22.3606797749979,3.68362151415629
"N2O",7,7.5,22.3606797749979,0.266670973797519
"SP",7,7.5,22.3606797749979,10.8592576938058
"d18O",7,7.5,22.3606797749979,2.41373492596532
"N2O",8,7.5,22.3606797749979,0.60142915952076
"SP",8,7.5,22.3606797749979,9.94598556999883
"d18O",8,7.5,22.3606797749979,2.23535187739814
"N2O",9,7.5,22.3606797749979,0.0984711966587322
"SP",9,7.5,22.3606797749979,12.2737631250266
"d18O",9,7.5,22.3606797749979,1.3573099034859
"N2O",10,7.5,22.3606797749979,0.166992364750663
"SP",10,7.5,22.3606797749979,15.5594593747534
